# Size - CPU - GPU - serial
1 0.075 0.705 0.217
2 0.104 0.722 0.426
3 0.160 0.751 0.846
4 0.274 0.801 1.752
5 0.286 0.905 3.415
6 0.524 0.911 6.754
7 0.976 0.905 13.610
8 1.883 0.948 27.128
9 3.678 1.022 54.313
10 7.292 1.931 113.525
11 14.492 2.936 217.586
12 30.559 4.955 436.502
13 57.661 8.893 869.043
14 115.667 16.840 1741.804
15 230.564 33.398 3484.572
16 462.034 66.055 6995.495
17 925.355 131.624 13995.803
18 1850.096 262.747 27884.374
19 3700.182 524.854 55445.609
20 7697.433 1049.197 111911.418
21 15285.159 2806.445 222053.770
22 26178.837 6687.997 386443.750
