1         0.003
2         0.003
3         0.003
4         0.004
5         0.004
6         0.005
7         0.007
8         0.010
9         0.017
10        0.030
11        0.108
12        0.202
13        0.387
14        0.774
15        1.172
16        2.001
17        3.593
18        6.892
19        13.436
20        26.475
21        52.453
22        91.343
